id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,stage,2023-11-16 07:37:33+00:00,2023-11-16 07:37:33+00:00,2023-11-16 07:42:33+00:00,2.0
,-28800,,stage,2023-11-16 07:42:33+00:00,2023-11-16 07:42:33+00:00,2023-11-16 07:47:33+00:00,2.0
,-28800,,stage,2023-11-16 07:47:33+00:00,2023-11-16 07:47:33+00:00,2023-11-16 07:52:33+00:00,2.0
,-28800,,stage,2023-11-16 07:52:33+00:00,2023-11-16 07:52:33+00:00,2023-11-16 07:57:33+00:00,1.0
,-28800,,stage,2023-11-16 07:57:33+00:00,2023-11-16 07:57:33+00:00,2023-11-16 08:02:33+00:00,1.0
,-28800,,stage,2023-11-16 08:02:33+00:00,2023-11-16 08:02:33+00:00,2023-11-16 08:07:33+00:00,1.0
,-28800,,stage,2023-11-16 08:07:33+00:00,2023-11-16 08:07:33+00:00,2023-11-16 08:12:33+00:00,1.0
,-28800,,stage,2023-11-16 08:12:33+00:00,2023-11-16 08:12:33+00:00,2023-11-16 08:17:33+00:00,1.0
,-28800,,stage,2023-11-16 08:17:33+00:00,2023-11-16 08:17:33+00:00,2023-11-16 08:22:33+00:00,2.0
,-28800,,stage,2023-11-16 08:22:33+00:00,2023-11-16 08:22:33+00:00,2023-11-16 08:27:33+00:00,3.0
,-28800,,stage,2023-11-16 08:27:33+00:00,2023-11-16 08:27:33+00:00,2023-11-16 08:32:33+00:00,3.0
,-28800,,stage,2023-11-16 08:32:33+00:00,2023-11-16 08:32:33+00:00,2023-11-16 08:37:33+00:00,3.0
,-28800,,stage,2023-11-16 08:37:33+00:00,2023-11-16 08:37:33+00:00,2023-11-16 08:42:33+00:00,3.0
,-28800,,stage,2023-11-16 08:42:33+00:00,2023-11-16 08:42:33+00:00,2023-11-16 08:47:33+00:00,3.0
,-28800,,stage,2023-11-16 08:47:33+00:00,2023-11-16 08:47:33+00:00,2023-11-16 08:52:33+00:00,3.0
,-28800,,stage,2023-11-16 08:52:33+00:00,2023-11-16 08:52:33+00:00,2023-11-16 08:57:33+00:00,2.0
,-28800,,stage,2023-11-16 08:57:33+00:00,2023-11-16 08:57:33+00:00,2023-11-16 09:02:33+00:00,2.0
,-28800,,stage,2023-11-16 09:02:33+00:00,2023-11-16 09:02:33+00:00,2023-11-16 09:07:33+00:00,2.0
